epoch,train_loss,val_loss,train_accuracy,val_accuracy,overfitting_gap,learning_rate
1,0.1710,0.1587,56.20%,78.60%,-0.0123,1.00e-06
2,0.1099,0.0820,83.00%,95.30%,-0.0279,2.08e-05
3,0.0785,0.0774,92.40%,96.10%,-0.0011,4.06e-05
4,0.0724,0.0705,93.80%,97.90%,-0.0019,6.04e-05
5,0.0674,0.0746,95.30%,97.60%,0.0072,8.02e-05
6,0.0617,0.0689,96.70%,97.30%,0.0072,8.02e-05
7,0.0622,0.0723,96.20%,97.20%,0.0101,9.76e-05
8,0.0598,0.0673,96.90%,97.60%,0.0075,9.05e-05
9,0.0560,0.0637,97.60%,98.70%,0.0077,7.96e-05
10,0.0550,0.0627,97.70%,99.00%,0.0077,6.58e-05
11,0.0525,0.0636,98.10%,98.90%,0.0111,5.05e-05
12,0.0532,0.0596,98.40%,99.50%,0.0064,3.52e-05
13,0.0526,0.0625,98.40%,99.20%,0.0099,2.14e-05
14,0.0508,0.0591,98.80%,99.60%,0.0083,1.05e-05
15,0.0510,0.0597,98.80%,99.60%,0.0087,3.42e-06
16,0.0616,0.0670,96.70%,98.20%,0.0054,1.00e-04
17,0.0597,0.0615,97.00%,98.90%,0.0018,9.94e-05
18,0.0580,0.0628,97.30%,98.90%,0.0048,9.76e-05
19,0.0553,0.0630,97.80%,99.40%,0.0077,9.46e-05
20,0.0544,0.0686,97.80%,97.70%,0.0142,9.05e-05
21,0.0538,0.0614,98.10%,99.50%,0.0076,8.55e-05
22,0.0534,0.0626,97.80%,99.00%,0.0092,7.96e-05
23,0.0521,0.0644,98.50%,98.60%,0.0123,7.30e-05
24,0.0518,0.0600,98.40%,99.50%,0.0082,6.58e-05
25,0.0516,0.0606,98.40%,99.30%,0.0090,5.82e-05
26,0.0518,0.0611,98.70%,99.00%,0.0093,5.05e-05
27,0.0492,0.0601,98.80%,99.50%,0.0109,4.28e-05
28,0.0495,0.0614,99.00%,99.40%,0.0119,3.52e-05
29,0.0495,0.0593,98.70%,99.50%,0.0098,2.80e-05
30,0.0483,0.0593,98.90%,99.50%,0.0110,2.14e-05

# GENERALIZATION METRICS
# - Best Val Accuracy: 99.60% (epoch 14)
# - Max Train Accuracy: 99.00% (epoch 28)
# - Max Overfitting Gap (val_loss - train_loss): 0.0142
# - Min Overfitting Gap: -0.0279 (epoch 2)
# - Train Epochs Completed: 30 (of 50 planned)
# - Test Accuracy: See final_results.csv
# - Train/Test Accuracy Delta: See final_results.csv
# - Cross-validation: N/A (time constraint)
# - Model: FractureMamba-ViT (Mamba SSM + Swin Transformer hybrid)
# - Stopped at epoch 30 due to time constraints; best checkpoint is from epoch 14/15 (99.6% val accuracy)
