,Avulsion fracture,Comminuted fracture,Fracture Dislocation,Greenstick fracture,Hairline Fracture,Impacted fracture,Longitudinal fracture,Oblique fracture,Pathological fracture,Spiral Fracture
Avulsion fracture,10,3,2,0,2,0,0,1,1,0
Comminuted fracture,2,7,4,1,1,0,2,1,1,3
Fracture Dislocation,2,3,10,2,2,1,2,0,2,0
Greenstick fracture,0,0,0,14,1,0,0,1,0,3
Hairline Fracture,0,0,0,3,11,1,0,0,0,1
Impacted fracture,1,0,0,2,0,2,2,0,5,0
Longitudinal fracture,1,0,0,1,1,2,4,1,0,2
Oblique fracture,2,0,2,1,2,0,2,2,0,2
Pathological fracture,0,4,1,0,3,1,3,0,8,0
Spiral Fracture,1,1,1,1,0,2,1,2,0,4
